player=0,SET:DECF
player=1,SET:ABEG
player=0,MOV:B,NORTH
player=1,MOV:A,N
player=0,MOV:B,NORTH
player=1,MOV:C,N
player=0,MOV:C,NORTH
player=1,MOV:A,N
player=0,MOV:C,EAST
player=1,MOV:C,N
player=0,MOV:C,NORTH
player=1,MOV:C,S
player=0,MOV:C,NORTH
player=1,MOV:C,N
player=0,MOV:C,WEST
player=1,MOV:F,N
player=0,MOV:A,NORTH
player=1,MOV:C,E
player=0,MOV:D,NORTH
player=1,MOV:C,E
player=0,MOV:F,NORTH
player=1,MOV:C,N
player=0,MOV:F,NORTH
player=1,MOV:C,S
player=0,MOV:F,SOUTH
player=1,MOV:C,S
player=0,MOV:D,WEST
player=1,MOV:C,N
player=0,MOV:F,NORTH
player=1,MOV:C,N
player=0,MOV:F,SOUTH
player=1,MOV:C,S
player=0,MOV:D,SOUTH
player=1,MOV:C,N
player=0,MOV:F,SOUTH
player=1,MOV:C,S
player=0,MOV:D,WEST
player=1,MOV:C,N
player=0,MOV:D,EAST
player=1,MOV:F,N
player=0,MOV:F,NORTH
player=1,MOV:C,S
player=0,MOV:G,WEST
player=1,MOV:C,N
player=0,MOV:F,NORTH
player=1,MOV:C,S
player=0,MOV:F,EAST
player=1,MOV:F,E
player=0,MOV:G,NORTH
player=1,MOV:C,N
player=0,MOV:F,NORTH
player=1,MOV:F,E
player=0,MOV:F,EAST
player=1,MOV:C,S
player=0,MOV:F,EAST
player=1,MOV:C,N
player=0,MOV:F,WEST
player=1,MOV:F,E
player=0,MOV:G,WEST
player=1,MOV:C,S
player=0,MOV:D,SOUTH
player=1,MOV:F,S
player=0,MOV:F,NORTH
player=1,MOV:C,S
player=0,MOV:F,NORTH
player=1,MOV:C,N
player=0,MOV:D,WEST
player=1,MOV:C,N
player=0,MOV:G,WEST
player=1,MOV:D,N
player=0,MOV:D,EAST
player=1,MOV:D,N
player=0,MOV:D,WEST
player=1,MOV:D,N
player=0,MOV:D,EAST
player=1,MOV:D,N
player=0,MOV:F,SOUTH
player=1,MOV:F,N
player=0,MOV:G,SOUTH
player=1,MOV:D,E
player=0,MOV:F,NORTH
player=1,MOV:D,E
winner=1
