player=0,SET:ABCF
player=1,SET:AHBF
player=0,MOV:A,N
player=1,MOV:A,NORTH
player=0,MOV:A,N
player=1,MOV:E,WEST
player=0,MOV:A,N
player=1,MOV:H,EAST
player=0,MOV:A,N
player=1,MOV:B,NORTH
player=0,MOV:A,E
player=1,MOV:C,WEST
player=0,MOV:A,E
player=1,MOV:A,WEST
player=0,MOV:A,E
player=1,MOV:B,EAST
player=0,MOV:A,E
player=1,MOV:A,SOUTH
player=0,MOV:A,S
player=1,MOV:C,NORTH
player=0,MOV:A,N
player=1,MOV:B,EAST
player=0,MOV:A,S
player=1,MOV:B,WEST
player=0,MOV:A,S
player=1,MOV:H,NORTH
player=0,MOV:A,N
player=1,MOV:H,NORTH
player=0,MOV:A,N
player=1,MOV:C,NORTH
player=0,MOV:A,S
player=1,MOV:B,NORTH
player=0,MOV:A,N
player=1,MOV:C,WEST
player=0,MOV:D,N
winner=0
