player=1,SET:DEBC
player=0,SET:DCFH
player=0,MOV:D,N
player=1,MOV:D,NORTH
player=0,MOV:D,E
player=1,MOV:D,NORTH
player=0,MOV:D,N
player=1,MOV:D,EAST
player=0,MOV:D,N
player=1,MOV:D,SOUTH
player=0,MOV:D,N
player=1,MOV:D,SOUTH
player=0,MOV:D,W
player=1,MOV:D,SOUTH
player=0,MOV:D,E
player=1,MOV:C,EAST
player=0,MOV:D,W
player=1,MOV:A,SOUTH
player=0,MOV:H,N
player=1,MOV:C,EAST
player=0,MOV:H,N
player=1,MOV:G,NORTH
player=0,MOV:H,N
player=1,MOV:A,NORTH
player=0,MOV:H,N
player=1,MOV:G,SOUTH
player=0,MOV:H,E
player=1,MOV:B,WEST
player=0,MOV:H,N
player=1,MOV:B,EAST
player=0,MOV:H,W
player=1,MOV:B,WEST
player=0,MOV:H,E
player=1,MOV:B,EAST
player=0,MOV:H,W
player=1,MOV:G,NORTH
player=0,MOV:H,E
player=1,MOV:F,WEST
player=0,MOV:H,S
player=1,MOV:H,NORTH
player=0,MOV:H,N
player=1,MOV:H,SOUTH
player=0,MOV:H,S
player=1,MOV:F,EAST
player=0,MOV:H,N
player=1,MOV:B,NORTH
player=0,MOV:H,W
player=1,MOV:H,WEST
player=0,MOV:H,E
player=1,MOV:G,EAST
player=0,MOV:H,W
player=1,MOV:C,NORTH
player=0,MOV:H,E
player=1,MOV:G,SOUTH
player=0,MOV:H,W
player=1,MOV:F,NORTH
player=0,MOV:H,E
player=1,MOV:C,WEST
player=0,MOV:H,W
player=1,MOV:C,NORTH
player=0,MOV:H,E
player=1,MOV:F,WEST
player=0,MOV:H,S
player=1,MOV:B,NORTH
player=0,MOV:H,N
player=1,MOV:C,SOUTH
player=0,MOV:H,S
player=1,MOV:H,WEST
player=0,MOV:H,N
player=1,MOV:F,WEST
player=0,MOV:H,S
player=1,MOV:C,WEST
player=0,MOV:H,N
player=1,MOV:H,WEST
player=0,MOV:H,W
player=1,MOV:B,NORTH
player=0,MOV:H,E
player=1,MOV:B,EAST
player=0,MOV:H,W
player=1,MOV:G,NORTH
player=0,MOV:H,E
player=1,MOV:B,NORTH
player=0,MOV:H,S
player=1,MOV:C,NORTH
player=0,MOV:H,N
player=1,MOV:B,EAST
player=0,MOV:H,S
player=1,MOV:D,WEST
player=0,MOV:H,N
player=1,MOV:G,EAST
player=0,MOV:H,S
player=1,MOV:C,NORTH
player=0,MOV:H,N
player=1,MOV:G,SOUTH
player=0,MOV:H,S
player=1,MOV:C,NORTH
player=0,MOV:H,N
player=1,MOV:D,WEST
player=0,MOV:H,W
player=1,MOV:C,WEST
player=0,MOV:H,E
player=1,MOV:G,NORTH
player=0,MOV:H,W
player=1,MOV:G,WEST
player=0,MOV:H,E
player=1,MOV:C,EAST
player=0,MOV:H,S
player=1,MOV:D,NORTH
player=0,MOV:H,N
player=1,MOV:G,EAST
player=0,MOV:H,S
player=1,MOV:B,EAST
player=0,MOV:H,N
player=1,MOV:D,NORTH
player=0,MOV:H,S
player=1,MOV:C,EAST
player=0,MOV:H,N
player=1,MOV:D,NORTH
player=0,MOV:H,W
player=1,MOV:B,SOUTH
player=0,MOV:H,E
player=1,MOV:B,SOUTH
player=0,MOV:H,W
player=1,MOV:C,SOUTH
winner=1
