player=0,SET:DCFH
player=1,SET:ABCF
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:E,W
player=0,MOV:C,E
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,E
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:E,E
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,S
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,S
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:C,S
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,S
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,S
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,S
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,S
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,S
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,W
player=1,MOV:A,S
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:C,S
player=1,MOV:F,W
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,S
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:C,W
player=1,MOV:A,E
player=0,MOV:C,E
player=1,MOV:A,S
player=0,MOV:C,S
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:C,S
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,S
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,S
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,W
player=1,MOV:A,S
player=0,MOV:C,E
player=1,MOV:A,S
player=0,MOV:C,W
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:C,W
player=1,MOV:B,E
player=0,MOV:C,E
player=1,MOV:B,E
player=0,MOV:C,S
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:B,S
player=0,MOV:C,W
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:B,W
player=0,MOV:C,S
player=1,MOV:B,S
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,S
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:B,S
winner=1
