player=0,SET:AHBF
player=1,SET:DECG
player=0,MOV:A,WEST
player=1,MOV:B,NORTH
player=0,MOV:D,EAST
player=1,MOV:B,NORTH
player=0,MOV:A,NORTH
player=1,MOV:B,NORTH
player=0,MOV:G,NORTH
player=1,MOV:C,NORTH
player=0,MOV:G,NORTH
player=1,MOV:C,NORTH
player=0,MOV:D,NORTH
player=1,MOV:C,NORTH
player=0,MOV:D,NORTH
player=1,MOV:C,NORTH
player=0,MOV:A,SOUTH
player=1,MOV:C,EAST
player=0,MOV:D,SOUTH
player=1,MOV:F,NORTH
player=0,MOV:H,EAST
player=1,MOV:D,EAST
player=0,MOV:H,NORTH
player=1,MOV:D,WEST
player=0,MOV:G,SOUTH
player=1,MOV:F,SOUTH
player=0,MOV:A,NORTH
player=1,MOV:A,EAST
player=0,MOV:G,WEST
player=1,MOV:A,NORTH
player=0,MOV:G,NORTH
player=1,MOV:D,NORTH
player=0,MOV:H,WEST
player=1,MOV:C,EAST
player=0,MOV:D,WEST
player=1,MOV:C,WEST
player=0,MOV:G,EAST
player=1,MOV:A,NORTH
player=0,MOV:D,EAST
player=1,MOV:A,NORTH
player=0,MOV:H,WEST
player=1,MOV:F,NORTH
player=0,MOV:D,NORTH
player=1,MOV:F,WEST
player=0,MOV:H,NORTH
player=1,MOV:F,NORTH
player=0,MOV:D,NORTH
player=1,MOV:C,WEST
player=0,MOV:H,NORTH
player=1,MOV:D,WEST
player=0,MOV:H,EAST
player=1,MOV:D,SOUTH
player=0,MOV:H,WEST
player=1,MOV:C,WEST
player=0,MOV:D,SOUTH
player=1,MOV:G,WEST
player=0,MOV:A,EAST
player=1,MOV:D,EAST
player=0,MOV:A,EAST
player=1,MOV:C,WEST
player=0,MOV:A,SOUTH
player=1,MOV:D,NORTH
player=0,MOV:A,SOUTH
player=1,MOV:C,EAST
player=0,MOV:A,WEST
player=1,MOV:G,NORTH
player=0,MOV:H,EAST
player=1,MOV:D,NORTH
player=0,MOV:A,WEST
player=1,MOV:C,EAST
player=0,MOV:H,WEST
player=1,MOV:G,WEST
player=0,MOV:H,SOUTH
player=1,MOV:G,NORTH
player=0,MOV:D,WEST
player=1,MOV:C,WEST
player=0,MOV:D,EAST
player=1,MOV:D,SOUTH
player=0,MOV:D,WEST
player=1,MOV:D,WEST
player=0,MOV:H,SOUTH
player=1,MOV:C,EAST
player=0,MOV:D,NORTH
player=1,MOV:E,NORTH
winner=1
