player=1,SET:DCFH
player=0,SET:AHBC
player=0,MOV:B,NORTH
player=1,MOV:D,N
player=0,MOV:F,NORTH
player=1,MOV:D,E
player=0,MOV:G,WEST
player=1,MOV:D,N
player=0,MOV:B,WEST
player=1,MOV:D,N
player=0,MOV:E,WEST
player=1,MOV:D,N
player=0,MOV:B,WEST
player=1,MOV:D,W
player=0,MOV:A,WEST
player=1,MOV:D,E
player=0,MOV:B,EAST
player=1,MOV:D,W
player=0,MOV:G,EAST
player=1,MOV:D,E
player=0,MOV:H,EAST
player=1,MOV:D,S
player=0,MOV:B,EAST
player=1,MOV:D,N
player=0,MOV:B,WEST
player=1,MOV:D,S
player=0,MOV:H,WEST
player=1,MOV:D,N
player=0,MOV:C,NORTH
player=1,MOV:D,S
player=0,MOV:C,WEST
player=1,MOV:D,N
player=0,MOV:C,EAST
player=1,MOV:D,S
player=0,MOV:C,NORTH
player=1,MOV:D,N
player=0,MOV:B,WEST
player=1,MOV:D,S
player=0,MOV:B,EAST
player=1,MOV:D,N
player=0,MOV:F,WEST
player=1,MOV:D,S
player=0,MOV:F,SOUTH
player=1,MOV:D,N
player=0,MOV:F,EAST
player=1,MOV:D,S
player=0,MOV:D,NORTH
player=1,MOV:D,N
player=0,MOV:H,NORTH
player=1,MOV:D,S
player=0,MOV:C,SOUTH
player=1,MOV:D,N
player=0,MOV:C,NORTH
player=1,MOV:D,S
player=0,MOV:F,WEST
player=1,MOV:D,N
player=0,MOV:C,SOUTH
player=1,MOV:D,W
player=0,MOV:D,EAST
player=1,MOV:D,E
player=0,MOV:C,WEST
player=1,MOV:D,S
player=0,MOV:G,NORTH
player=1,MOV:D,N
player=0,MOV:C,EAST
player=1,MOV:D,S
player=0,MOV:C,EAST
player=1,MOV:D,N
player=0,MOV:H,SOUTH
player=1,MOV:D,W
player=0,MOV:B,NORTH
player=1,MOV:D,E
player=0,MOV:H,NORTH
player=1,MOV:D,S
player=0,MOV:G,SOUTH
player=1,MOV:D,N
player=0,MOV:B,NORTH
player=1,MOV:D,S
player=0,MOV:G,NORTH
player=1,MOV:D,N
player=0,MOV:B,NORTH
player=1,MOV:D,S
player=0,MOV:C,NORTH
player=1,MOV:D,N
player=0,MOV:B,EAST
player=1,MOV:D,S
player=0,MOV:H,NORTH
player=1,MOV:D,N
player=0,MOV:B,EAST
player=1,MOV:D,W
player=0,MOV:C,NORTH
player=1,MOV:D,E
player=0,MOV:C,NORTH
player=1,MOV:D,W
player=0,MOV:C,SOUTH
player=1,MOV:D,E
player=0,MOV:C,WEST
winner=0
