player=1,SET:AHBC
player=0,SET:FCBG
player=0,MOV:A,W
player=1,MOV:B,NORTH
player=0,MOV:C,N
player=1,MOV:B,NORTH
player=0,MOV:B,E
player=1,MOV:B,NORTH
player=0,MOV:A,N
player=1,MOV:B,WEST
player=0,MOV:H,N
player=1,MOV:D,NORTH
player=0,MOV:H,S
player=1,MOV:D,NORTH
player=0,MOV:A,E
player=1,MOV:A,EAST
player=0,MOV:G,N
player=1,MOV:C,EAST
player=0,MOV:G,W
player=1,MOV:C,WEST
player=0,MOV:G,N
player=1,MOV:A,NORTH
player=0,MOV:G,E
player=1,MOV:A,NORTH
player=0,MOV:H,E
player=1,MOV:C,WEST
player=0,MOV:A,E
player=1,MOV:A,EAST
player=0,MOV:F,N
player=1,MOV:A,NORTH
winner=1
