player=1,SET:DEBG
player=0,SET:ADEH
player=0,MOV:A,N
player=1,MOV:C,NORTH
player=0,MOV:A,N
player=1,MOV:D,NORTH
player=0,MOV:B,W
player=1,MOV:C,NORTH
player=0,MOV:B,W
player=1,MOV:C,NORTH
player=0,MOV:C,W
player=1,MOV:B,NORTH
player=0,MOV:B,N
player=1,MOV:B,NORTH
player=0,MOV:B,S
player=1,MOV:B,NORTH
player=0,MOV:C,E
player=1,MOV:D,SOUTH
player=0,MOV:B,N
player=1,MOV:F,NORTH
player=0,MOV:B,N
player=1,MOV:F,NORTH
player=0,MOV:B,S
player=1,MOV:F,SOUTH
player=0,MOV:B,E
player=1,MOV:G,WEST
player=0,MOV:B,E
player=1,MOV:F,NORTH
player=0,MOV:B,S
player=1,MOV:D,EAST
player=0,MOV:B,N
player=1,MOV:A,EAST
player=0,MOV:B,S
player=1,MOV:D,WEST
player=0,MOV:B,N
player=1,MOV:F,WEST
player=0,MOV:B,N
player=1,MOV:A,NORTH
player=0,MOV:B,S
player=1,MOV:D,NORTH
player=0,MOV:B,S
player=1,MOV:D,SOUTH
player=0,MOV:B,N
player=1,MOV:G,EAST
player=0,MOV:B,S
player=1,MOV:G,NORTH
player=0,MOV:B,N
player=1,MOV:A,SOUTH
player=0,MOV:B,E
player=1,MOV:A,NORTH
player=0,MOV:B,W
player=1,MOV:F,WEST
player=0,MOV:B,S
player=1,MOV:H,WEST
player=0,MOV:B,N
player=1,MOV:F,SOUTH
player=0,MOV:B,S
player=1,MOV:A,EAST
player=0,MOV:B,W
player=1,MOV:F,EAST
player=0,MOV:B,N
player=1,MOV:F,WEST
player=0,MOV:B,S
player=1,MOV:A,WEST
player=0,MOV:B,N
player=1,MOV:A,NORTH
player=0,MOV:C,N
player=1,MOV:D,NORTH
player=0,MOV:B,N
player=1,MOV:G,NORTH
player=0,MOV:B,N
player=1,MOV:F,EAST
player=0,MOV:B,W
player=1,MOV:G,EAST
player=0,MOV:B,N
player=1,MOV:G,EAST
player=0,MOV:B,W
winner=0
