player=0,SET:ABCH
player=1,SET:AHBC
player=0,MOV:D,NORTH
player=1,MOV:B,NORTH
player=0,MOV:D,EAST
player=1,MOV:B,NORTH
player=0,MOV:D,NORTH
player=1,MOV:B,NORTH
player=0,MOV:B,EAST
player=1,MOV:D,NORTH
player=0,MOV:D,WEST
player=1,MOV:A,NORTH
player=0,MOV:H,EAST
player=1,MOV:D,NORTH
player=0,MOV:A,WEST
player=1,MOV:D,NORTH
player=0,MOV:A,EAST
player=1,MOV:C,WEST
player=0,MOV:G,EAST
player=1,MOV:G,NORTH
player=0,MOV:F,EAST
player=1,MOV:A,SOUTH
player=0,MOV:E,EAST
player=1,MOV:G,SOUTH
player=0,MOV:B,WEST
player=1,MOV:A,NORTH
player=0,MOV:A,NORTH
player=1,MOV:A,SOUTH
player=0,MOV:H,NORTH
player=1,MOV:A,NORTH
player=0,MOV:G,EAST
player=1,MOV:C,NORTH
player=0,MOV:F,EAST
player=1,MOV:F,NORTH
player=0,MOV:A,NORTH
player=1,MOV:A,NORTH
player=0,MOV:B,EAST
player=1,MOV:A,WEST
player=0,MOV:E,EAST
player=1,MOV:A,NORTH
player=0,MOV:B,NORTH
player=1,MOV:A,NORTH
player=0,MOV:F,EAST
player=1,MOV:C,EAST
player=0,MOV:E,EAST
player=1,MOV:C,EAST
player=0,MOV:E,WEST
player=1,MOV:F,EAST
player=0,MOV:B,EAST
player=1,MOV:F,EAST
player=0,MOV:E,EAST
player=1,MOV:F,EAST
player=0,MOV:E,WEST
player=1,MOV:F,NORTH
player=0,MOV:E,EAST
player=1,MOV:F,NORTH
player=0,MOV:B,WEST
player=1,MOV:F,NORTH
player=0,MOV:B,WEST
player=1,MOV:F,NORTH
player=0,MOV:B,EAST
player=1,MOV:F,EAST
winner=1
