player=1,SET:ABCE
player=0,SET:DEBG
player=0,MOV:C,NORTH
player=1,MOV:D,EAST
player=0,MOV:C,NORTH
player=1,MOV:D,WEST
player=0,MOV:C,NORTH
player=1,MOV:A,EAST
player=0,MOV:B,NORTH
player=1,MOV:A,WEST
player=0,MOV:B,NORTH
player=1,MOV:C,WEST
player=0,MOV:B,NORTH
player=1,MOV:C,EAST
player=0,MOV:F,NORTH
player=1,MOV:C,NORTH
player=0,MOV:A,WEST
player=1,MOV:D,EAST
player=0,MOV:A,NORTH
player=1,MOV:H,EAST
player=0,MOV:E,NORTH
player=1,MOV:G,NORTH
player=0,MOV:D,WEST
player=1,MOV:G,EAST
player=0,MOV:A,SOUTH
player=1,MOV:F,EAST
player=0,MOV:A,SOUTH
player=1,MOV:F,EAST
player=0,MOV:D,NORTH
player=1,MOV:C,WEST
player=0,MOV:D,NORTH
player=1,MOV:F,WEST
player=0,MOV:D,NORTH
player=1,MOV:A,EAST
player=0,MOV:A,NORTH
player=1,MOV:G,NORTH
player=0,MOV:F,SOUTH
player=1,MOV:F,WEST
player=0,MOV:G,NORTH
player=1,MOV:A,WEST
player=0,MOV:F,WEST
player=1,MOV:E,WEST
player=0,MOV:A,SOUTH
player=1,MOV:F,NORTH
player=0,MOV:G,SOUTH
player=1,MOV:H,WEST
player=0,MOV:F,EAST
player=1,MOV:H,NORTH
player=0,MOV:F,WEST
player=1,MOV:A,WEST
player=0,MOV:A,NORTH
player=1,MOV:F,EAST
player=0,MOV:G,WEST
player=1,MOV:E,EAST
player=0,MOV:F,WEST
player=1,MOV:A,EAST
player=0,MOV:G,WEST
player=1,MOV:A,NORTH
player=0,MOV:A,NORTH
player=1,MOV:G,NORTH
player=0,MOV:A,SOUTH
player=1,MOV:G,WEST
player=0,MOV:G,EAST
player=1,MOV:E,WEST
player=0,MOV:A,NORTH
player=1,MOV:A,EAST
player=0,MOV:G,WEST
player=1,MOV:H,NORTH
player=0,MOV:G,EAST
player=1,MOV:H,EAST
player=0,MOV:A,NORTH
player=1,MOV:D,NORTH
player=0,MOV:G,WEST
player=1,MOV:D,NORTH
player=0,MOV:G,EAST
player=1,MOV:E,NORTH
player=0,MOV:G,NORTH
player=1,MOV:A,EAST
player=0,MOV:G,NORTH
player=1,MOV:F,WEST
player=0,MOV:G,WEST
player=1,MOV:F,WEST
player=0,MOV:G,WEST
player=1,MOV:F,EAST
player=0,MOV:G,SOUTH
player=1,MOV:F,NORTH
player=0,MOV:F,EAST
player=1,MOV:A,NORTH
player=0,MOV:G,SOUTH
player=1,MOV:F,WEST
player=0,MOV:G,NORTH
player=1,MOV:F,EAST
player=0,MOV:F,WEST
player=1,MOV:E,NORTH
player=0,MOV:F,EAST
player=1,MOV:F,WEST
player=0,MOV:F,EAST
player=1,MOV:F,EAST
player=0,MOV:F,EAST
player=1,MOV:A,EAST
player=0,MOV:E,NORTH
player=1,MOV:E,EAST
player=0,MOV:F,NORTH
player=1,MOV:E,WEST
player=0,MOV:G,SOUTH
player=1,MOV:F,EAST
player=0,MOV:G,NORTH
player=1,MOV:E,EAST
player=0,MOV:F,WEST
player=1,MOV:E,EAST
player=0,MOV:G,EAST
player=1,MOV:E,NORTH
player=0,MOV:G,SOUTH
player=1,MOV:F,NORTH
player=0,MOV:F,EAST
player=1,MOV:F,EAST
player=0,MOV:G,EAST
player=1,MOV:F,EAST
player=0,MOV:F,NORTH
winner=0
