player=1,SET:ABCH
player=0,SET:DEFG
player=0,MOV:A,N
player=1,MOV:C,NORTH
player=0,MOV:A,S
player=1,MOV:G,NORTH
player=0,MOV:A,N
player=1,MOV:E,WEST
player=0,MOV:A,S
player=1,MOV:A,NORTH
player=0,MOV:A,N
player=1,MOV:E,NORTH
player=0,MOV:A,S
player=1,MOV:E,EAST
player=0,MOV:A,N
player=1,MOV:F,EAST
player=0,MOV:A,S
player=1,MOV:A,WEST
player=0,MOV:A,N
player=1,MOV:D,EAST
player=0,MOV:A,S
player=1,MOV:C,NORTH
player=0,MOV:B,N
player=1,MOV:B,NORTH
player=0,MOV:B,S
player=1,MOV:B,NORTH
player=0,MOV:C,N
player=1,MOV:E,NORTH
player=0,MOV:C,S
player=1,MOV:G,EAST
player=0,MOV:A,N
player=1,MOV:G,WEST
player=0,MOV:A,N
player=1,MOV:H,NORTH
player=0,MOV:A,S
player=1,MOV:G,NORTH
player=0,MOV:A,S
player=1,MOV:G,EAST
player=0,MOV:A,W
player=1,MOV:E,EAST
player=0,MOV:A,N
player=1,MOV:G,EAST
player=0,MOV:A,E
player=1,MOV:H,WEST
player=0,MOV:A,E
player=1,MOV:H,NORTH
player=0,MOV:A,W
player=1,MOV:D,WEST
player=0,MOV:A,S
player=1,MOV:F,NORTH
player=0,MOV:A,N
player=1,MOV:D,NORTH
player=0,MOV:A,S
player=1,MOV:E,NORTH
player=0,MOV:A,N
player=1,MOV:F,EAST
player=0,MOV:A,S
player=1,MOV:E,EAST
player=0,MOV:A,W
player=1,MOV:E,NORTH
player=0,MOV:C,N
player=1,MOV:E,WEST
player=0,MOV:C,E
player=1,MOV:F,WEST
player=0,MOV:A,E
player=1,MOV:D,NORTH
player=0,MOV:A,W
player=1,MOV:D,EAST
player=0,MOV:A,E
player=1,MOV:A,EAST
player=0,MOV:C,E
player=1,MOV:A,NORTH
player=0,MOV:C,N
player=1,MOV:A,EAST
player=0,MOV:C,N
player=1,MOV:A,EAST
player=0,MOV:C,N
player=1,MOV:D,NORTH
player=0,MOV:C,E
winner=0
